t_index    term                 df
895        appreci              9
896        apprehend            4
897        apprehens            2
898        apprentic            3
899        appris               1
900        approach             49
901        appropri             9
902        approv               25
903        april                67
904        aprista              4
905        apron                1
906        aquil                2
907        ar15                 1
908        arab                 61
909        arabamerican         2
910        arabi                1
911        arabia               71
912        arabian              44
913        arabianborn          1
914        arablanguag          3
915        arablook             1
916        arabspeak            1
917        arafat               16
918        arantxa              3
919        arazi                7
920        arbadi               1
921        arbit                1
922        arbitrari            2
923        arbitrarili          1
924        arc                  1
925        arch                 2
926        archaeolog           2
927        archbishop           4
928        archer               1
929        archeri              4
930        archetyp             1
931        archi                3
932        archibald            1
933        architect            7
934        architectur          4
935        arctic               6
936        ardent               4
937        arduou               1
938        area                 184
939        arena                22
940        argentin             1
941        argentina            10
942        argu                 45
943        arguabl              2
944        argument             18
945        ari                  1
946        arid                 5
947        arif                 1
948        arisen               1
949        arithmet             1
950        aritomi              4
951        ariz                 6
952        arizona              7
953        ark                  8
954        arkadelphia          1
955        arkan                1
956        arkansa              28
957        arkansasbas          1
958        arkin                2
959        arleigh              2
960        arleighburkeclass    1
961        arlen                2
962        arlington            8
963        arm                  132
964        armament             2
965        armbrist             1
966        armenia              2
967        armey                1
968        armi                 136
969        armitag              1
970        armor                17
971        armori               3
972        arn                  3
973        arnaud               17
974        arni                 1
975        arno                 1
976        arnold               3
977        arnot                1
978        aros                 5
979        arous                1
980        arraign              2
981        arrang               38
982        array                5
983        arrear               1
984        arrest               109
985        arriv                180
986        arrog                3
987        arrow                4
988        arsen                10
989        arseni               1
990        arsonist             1
991        art                  9
992        arthriti             1
993        arthur               4
994        articl               5
995        articul              1
996        artifact             1
997        artifici             4
998        artist               4
999        artudo               1
1000       arturo               6
1001       aruba                2
1002       aryapov              1
1003       asa                  1
1004       asahi                1
1005       ascend               1
1006       ascrib               4
1007       asean                1
1008       ash                  4
1009       asham                1
1010       ashcroft             56
1011       ashkroft             1
1012       ashok                1
1013       ashor                2
1014       ashraf               1
1015       ashshaab             1
1016       ashtray              1
1017       asia                 22
1018       asian                15
1019       asiapacif            16
1020       asid                 12
1021       aspect               11
1022       aspir                2
1023       assad                1
1024       assail               4
1025       assam                6
1026       assassin             21
1027       assault              28
1028       assembl              18
1029       assemblyforexport    1
1030       assert               17
1031       assess               48
1032       asset                10
1033       assign               24
1034       assist               76
1035       assistedsuicid       1
1036       associ               60
1037       associateturnedinform 3
1038       assort               1
1039       assum                38
1040       assumpt              7
1041       assur                35
1042       assuredli            2
1043       astakhov             12
1044       asterisk             2
1045       astonish             7
1046       astound              2
1047       astronom             1
1048       astut                1
1049       asylum               29
1050       asymmetr             2
1051       atal                 13
1052       atck                 2
1053       ate                  4
1054       atf                  2
1055       atfein               1
1056       ath                  1
1057       athal                1
1058       athlet               3
1059       atlant               15
1060       atlanta              6
1061       atmat                1
1062       atmospher            10
1063       atom                 4
1064       atop                 13
1065       atp                  3
1066       atroc                10
1067       atrophi              1
1068       atsea                3
1069       attach               15
1070       attack               306
1071       attain               1
1072       attempt              112
1073       attend               68
1074       attent               64
1075       attest               2
1076       attitud              10
1077       attorney             58
1078       attract              15
1079       attribut             12
1080       attrit               1
1081       atwan                1
1082       aubrey               19
1083       aubri                5
1084       audienc              16
1085       audio                4
1086       audiotap             1
1087       auditor              5
1088       auditorium           1
1089       aug                  33
1090       augment              1
1091       august               32
1092       aunt                 2
1093       aur                  5
1094       aura                 1
1095       aurora               4
1096       ausi                 1
1097       aussi                9
1098       auster               2
1099       austin               18
1100       australia            23
1101       australian           72
1102       austria              3
1103       austrian             1
1104       austrohungarian      1
1105       authent              2
1106       author               255
1107       authoritarian        27
1108       auto                 1
1109       autocrat             27
1110       autograph            1
1111       autom                1
1112       automat              18
1113       automobil            4
1114       autonom              1
1115       autonomi             3
1116       autopilot            1
1117       autopsi              1
1118       autumn               2
1119       avail                15
1120       avala                1
1121       avalanch             1
1122       ave                  1
1123       aveng                7
1124       avent                1
1125       avenu                4
1126       averag               14
1127       avert                6
1128       aviat                3
1129       aviv                 4
1130       avner                2
1131       avoid                59
1132       avow                 1
1133       aw                   8
1134       awad                 2
1135       await                26
1136       awaken               2
1137       awar                 18
1138       award                9
1139       awe                  3
1140       aweigh               1
1141       awestruck            1
1142       awkward              4
1143       awn                  4
1144       awok                 1
1145       axam                 1
1146       axe                  1
1147       ay                   2
1148       ayatollah            1
1149       aykroyd              1
1150       ayman                5
1151       aynaoui              1
1152       ayr                  1
1153       ayyam                1
1154       az                   1
1155       aziz                 1
1156       azul                 1
1157       azulay               2
1158       b292                 2
1159       b52                  1
1160       b92                  2
1161       ba                   2
1162       babenko              2
1163       babi                 14
1164       babkin               6
1165       baboa                1
1166       backa                1
1167       backandforth         1
1168       backbo               1
1169       backcourt            1
1170       backdrop             4
1171       backer               14
1172       backfir              5
1173       background           4
1174       backhand             14
1175       backho               1
1176       backlash             3
1177       backstop             2
1178       backtoback           5
1179       backup               2
1180       backyard             1
1181       bacon                18
1182       bad                  39
1183       badg                 3
1184       badli                39
1185       badrasen             5
1186       baffl                2
1187       bag                  14
1188       bagad                1
1189       baggag               1
1190       baghbel              1
1191       baghdad              2
1192       bahgbo               5
1193       bahrain              34
1194       bahrainbas           3
1195       bai                  1
1196       baijubahi            2
1197       bail                 4
1198       bailey               6
1199       baird                1
1200       bairnt               1
1201       bakarec              3
1202       bake                 2
1203       baken                1
1204       baker                5
1205       bakhshish            1
1206       bakri                5
1207       balanc               20
1208       balawat              1
1209       balcacer             2
1210       balconi              11
1211       bald                 1
1212       balintkurti          1
1213       balk                 4
1214       balkan               25
1215       ball                 29
1216       ballard              1
1217       ballast              2
1218       ballena              1
1219       ballist              1
1220       ballo                1
1221       balloon              3
1222       ballot               72
1223       ballroom             2
1224       ballstrik            1
1225       balonia              1
1226       balsamo              1
1227       baltimor             3
1228       baltin               1
1229       bamba                3
1230       bambi                1
1231       bamboo               2
1232       bamboosupport        2
1233       bament               1
1234       ban                  24
1235       banco                1
1236       band                 11
1237       bandag               8
1238       bandanna             3
1239       bandit               1
1240       bang                 7
1241       bangalor             1
1242       bangaru              3
1243       bangladesh           5
1244       bank                 68
1245       banker               10
1246       bankfraud            1
1247       bankrupt             5
1248       bankruptci           4
1249       banner               9
1250       banquet              1
1251       baptist              5
1252       bar                  54
1253       barak                9
1254       barb                 4
1255       barbar               2
1256       barbara              24
1257       barber               1
1258       barbershop           1
1259       barcelona            1
1260       bare                 46
1261       barefacedli          1
1262       barent               36
1263       barg                 3
1264       bargain              9
1265       bari                 1
1266       bark                 1
1267       barkina              2
1268       barkolla             1
1269       barkova              3
1270       barna                4
1271       barney               1
1272       barnstorm            1
1273       barot                1
1274       barov                1
1275       barr                 1
1276       barrack              35
1277       barrag               2
1278       barrel               2
1279       barrera              2
1280       barri                1
1281       barricad             18
1282       barrier              12
1283       bartlett             1
1284       barua                5
1285       base                 166
1286       basebal              4
1287       baseballstyl         1
1288       baseerod             1
1289       baselin              16
1290       baselinebound        1
1291       basement             1
1292       basher               1
1293       bashraheel           1
1294       bashrahel            1
1295       basi                 15
1296       basic                43
1297       basilica             1
1298       bask                 2
1299       basket               3
1300       basketbal            1
1301       basset               1
1302       bassiouni            1
1303       bastion              6
1304       batch                1
1305       bath                 4
1306       bathroom             3
1307       bathtub              1
1308       batic                2
1309       baton                4
1310       battalion            3
1311       batten               1
1312       batter               8
1313       batteri              1
1314       batteryoper          1
1315       battl                76
